category,property,hiddenInAuditor
Typography,font,false
Typography,font-weight,false
Typography,text-decoration,false
Typography,font-family,false
Typography,font-size,false
Typography,line-height,false
Typography,text-overflow,true
Typography,white-space,true
Typography,word-break,true
Typography,overflow-wrap,true
Typography,text-align,true
Typography,letter-spacing,true
Typography,text-transform,true
Typography,text-decoration-color,false
Typography,text-decoration-thickness,true
Typography,text-decoration-offset,true
Typography,direction,true
Typography,unicode-bidi,true
Typography,text-wrap,true
Typography,vertical-align,fatruelse
Typography,font-style,true
Typography,word-spacing,true
Foreground Colors,color,false
Background Colors,background-color,false
Background Colors,fill,false
Shapes,border-radius,false
Shapes,corner-shape,false
Shapes,border,false
Shadows,box-shadow,false
Shadows,text-shadow,false
Shadows,filter,false
Density,padding,false
Density,margin,false
Density,gap,false
Density,row-gap,true
Density,column-gap,true
Density,width,true
Density,max-width,true
Density,min-width,true
Density,height,true
Density,max-height,true
Density,min-height,true
Density,inline-size,true
Density,block-size,true
Density,grid-template-columns,true
Density,grid-template-rows,true
Density,grid-template-areas,true
Density,flex-basis,true
Density,flex-grow,true
Density,flex-shrink,true
Density,scroll-padding,true
Density,scroll-margin,true
Density,column-count,true
Density,column-gap,true
Animation,animation,false
Animation,transition,false
Animation,transition-property,false
Animation,transition-duration,false
Animation,transform,false
Animation,backdrop-filter,false
Interaction,pointer-events,true
Interaction,user-select,true
Interaction,touch-action,true
Interaction,scroll-behavior,true
Interaction,scroll-snap-type,true
Interaction,scroll-snap-align,true
Interaction,accent-color,true
Interaction,overscroll-behavior,true
Interaction,cursor,true
